,Source,Target,Weight
282,#mentalhealthawarenessmonth,ever,894
283,feel,help,892
284,#mentalhealthawarenessmonth,listen,889
285,mental,remember,886
286,#mentalhealthawarenessmonth,kind,884
287,mental,work,884
288,#mentalhealth,#mentalhealthawarenessweek,883
289,help,people,881
290,mental,services,875
291,health,illness,874
292,love,health,873
293,mental,please,873
294,it’s,okay,872
295,#mentalhealthawarenessmonth,experience,870
296,mental,alone,863
297,#mentalhealthawarenessmonth,say,858
298,know,may,857
299,week,mental,855
300,new,mental,855
301,can,people,854
302,check,may,854
303,depression,anxiety,850
304,mental,someone,849
305,health,share,848
306,mental,now,847
307,week,health,839
308,get,can,836
309,health,remember,834
310,can,us,833
311,#mentalhealthawarenessmonth,watch,832
312,#mentalhealthawarenessmonth,give,830
313,#mentalhealthawarenessmonth,reminder,829
314,around,health,828
315,#mentalhealthawarenessmonth,together,828
316,#mentalhealthawarenessmonth,link,823
317,#mentalhealthawarenessmonth,5,823
318,feel,like,822
319,#mentalhealth,#anxiety,822
320,#mentalhealthawarenessmonth,use,819
321,#mentalhealthawarenessmonth,right,819
322,#mentalhealthawarenessmonth,days,818
323,health,work,816
324,#mentalhealthawarenessmonth,visit,814
325,new,health,812
326,#mentalhealth,day,812
327,health,now,811
328,#mentalhealthawarenessmonth,challenges,809
329,health,please,804
330,can,stigma,803
331,#mentalhealthmonday,today,802
332,health,community,802
333,#mentalhealthawarenessmonth,self,802
334,mental,everyone,800
335,#mentalhealthawarenessmonth,video,799
336,#mentalhealthawarenessmonth,social,799
337,every,mental,797
338,#depression,#mentalhealth,797
339,#mentalhealthmatters,amp,796
340,#mentalhealthawarenessmonth,thoughts,795
341,know,can,794
342,mental,ways,792
343,help,know,792
344,#mentalhealthawarenessmonth,emotional,792
345,help,awareness,791
346,mental,community,791
347,#mentalhealth,check,791
348,#mentalhealthawarenessmonth,reach,790
349,#mentalhealth,know,783
350,#mentalhealthawarenessmonth,2,781
351,#mentalhealthawarenessmonth,healthy,779
352,#mentalhealth,take,777
353,will,may,774
354,mental,students,773
355,time,may,771
356,#mentalhealthawarenessmonth,come,771
357,health,students,770
358,health,alone,770
359,anyone,can,768
360,health,free,764
361,#mentalhealth,need,764
362,resources,may,764
363,#mentalhealthmonday,will,763
364,#mentalhealth,one,763
365,#mentalhealthawarenessmonth,sure,762
366,can,one,762
367,#mentalhealthawarenessmonth,living,761
368,#mentalhealthmatters,awareness,760
369,#mentalhealth,today,760
370,#mentalhealthawarenessmonth,post,760
371,#mentalhealthawarenessmonth,thanks,760
372,#mentalhealth,time,760
373,health,ways,758
374,#mentalhealthawarenessmonth,talking,756
375,mental,free,754
376,#mentalhealthmatters,help,754
377,#mentalhealthawarenessmonth,break,753
378,#mentalhealthawarenessmonth,reduce,752
379,#mentalhealthmonth,mental,749
380,#mentalhealth,important,749
381,#mentalhealth,care,748
382,day,every,745
383,remember,can,745
384,#mentalhealthawarenessmonth,children,745
385,love,rare,739
386,#mentalhealthawarenessmonth,book,738
387,take,may,736
388,#mentalhealthawarenessmonth,person,736
389,health,wellness,735
390,know,someone,733
391,reduce,mental,732
392,health,everyone,731
393,can,make,730
394,health,pandemic,730
395,can,reduce,729
396,mental,challenges,729
397,#mentalhealth,will,725
398,lets,mental,725
399,#mentalhealthawarenessmonth,blog,723
400,just,it’s,722
401,taking,health,722
402,#mentalhealthawarenessmonth,positive,721
403,health,challenges,721
